Company,Role,Location,Application/Link,Date Posted,Is_US_Location
**[Ascend Analytics](https://simplify.jobs/c/AscendAnalytics)**,Software Engineering Intern,"Boulder, CO",https://boards.greenhouse.io/ascendanalytics/jobs/4512944005,Jan 02,Yes
**[Centerfield](https://simplify.jobs/c/Centerfield)**,Software Engineer Intern,LA,https://jobs.lever.co/centerfield/bed26b9e-48e7-476e-a6a2-0f1e0a91053c/apply,Jan 02,No
**[Ekimetrics](https://simplify.jobs/c/Ekimetrics)**,2025 Summer internship - Data Engineering and Developer Consultant,"London, UK",https://jobs.lever.co/ekimetrics/7672375c-e4ac-4bf2-b55b-6d302710c125/apply,Jan 02,No
**[Ekimetrics](https://simplify.jobs/c/Ekimetrics)**,2025 Summer internship - Data Science & Marketing Analytics Consultant,"London, UK",https://jobs.lever.co/ekimetrics/482852d6-6db5-4456-af9b-39c7cde6dc48/apply,Jan 02,No
**[Lucid](https://simplify.jobs/c/Lucid)**,Data Analyst Internship Summer 2025,"Raleigh, NC",https://job-boards.greenhouse.io/lucidsoftware/jobs/5309163004,Jan 02,Yes
**[Lucid](https://simplify.jobs/c/Lucid)**,Data Analyst Internship Summer 2025,"Salt Lake City, UT",https://job-boards.greenhouse.io/lucidsoftware/jobs/5309139004,Nov 18,Yes
**[Motorola](https://simplify.jobs/c/MotorolaSolutions)**,Software Engineer Summer 2025 Internship - UIUC Research Park,"Urbana, IL",https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Champaign-IL-IL169/Software-Engineer-Summer-2025-Internship--UIUC-Research-Park-_R50649,Oct 10,Yes
**[Rakuten International](https://simplify.jobs/c/8ad80518-8d5f-42bc-b3b6-56142de8fbac)**,Intern – Software Engineer - AI User Experience,"Seattle, WA",https://rakuten.wd1.myworkdayjobs.com/en-US/RakutenAmericas/job/Seattle-Washington/Intern---Software-Engineer--AI-User-Experience_1024070-1,Nov 15,Yes
**[Samsara](https://simplify.jobs/c/Samsara)**,Software Engineering Intern - US,SF,https://www.samsara.com/company/careers/roles/6295077?gh_jid=6295077&utm_source=Simplify&ref=Simplify,Oct 21,No
**[Shamrock Trading](https://simplify.jobs/c/Shamrock-Trading)**,Software Developer Intern,"Overland Park, KS",https://jobs.jobvite.com/shamrock/job/owFAufwZ?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify,Sep 30,Yes
**[Tarsus Pharamceuticals](https://simplify.jobs/c/Tarsus-Rx)**,Intern – IT,"Irvine, CA",https://tarsusrx.com/careers?gh_jid=5403524004&utm_source=Simplify&ref=Simplify,Jan 02,Yes
**[Twilio](https://simplify.jobs/c/Twilio)**,Twilio Software Engineer Intern,Remote in Canada,https://job-boards.greenhouse.io/twilio/jobs/6330373,Jan 02,No
